timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
9500000,9476000,6620172,488.1075,0.0,95597.95,1.1358618
9552000,9528000,6620172,488.06525,0.0,95598.45,1.1358677
9604000,9580000,6620172,488.06995,0.0,95598.37,1.1358668
9656000,9632000,6620172,488.05118,0.0,95598.63,1.1358699
9708000,9684000,6620172,488.06995,0.0,95598.375,1.1358668
9760000,9736000,6620172,488.0934,0.0,95598.14,1.135864
9812000,9788000,6620172,488.05118,0.0,95598.61,1.1358696
9864000,9840000,6620172,488.1169,0.0,95597.836,1.1358604
9916000,9892000,6620172,488.1075,0.0,95597.945,1.1358618
9968000,9944000,6620172,488.0981,0.0,95598.055,1.135863
10020000,9996000,6620172,488.02768,0.0,95598.87,1.1358726
10072000,10048000,6620172,488.0887,0.0,95598.17,1.1358644
10124000,10100000,6620172,488.06995,0.0,95598.37,1.1358668
10176000,10152000,6620172,488.06995,0.0,95598.4,1.1358671
10228000,10204000,6620172,488.1169,0.0,95597.82,1.1358602
10280000,10256000,6620172,488.14038,0.0,95597.555,1.1358571
10332000,10308000,6620172,488.13568,0.0,95597.65,1.1358582
10384000,10360000,6620172,488.07465,0.0,95598.336,1.1358663
10436000,10412000,6620172,488.023,0.0,95598.92,1.1358733
10488000,10464000,6620172,488.0934,0.0,95598.14,1.135864
10540000,10516000,6620172,488.05588,0.0,95598.57,1.1358691
10592000,10568000,6620172,488.06995,0.0,95598.37,1.1358668
10644000,10620000,6620172,488.14038,0.0,95597.6,1.1358576
10696000,10672000,6620172,488.0981,0.0,95598.086,1.1358634
10748000,10724000,6620172,488.1122,0.0,95597.92,1.1358614
10800000,10776000,6620172,488.06525,0.0,95598.445,1.1358676
10852000,10828000,6620172,488.0934,0.0,95598.1,1.1358635
10904000,10880000,6620172,488.13568,0.0,95597.63,1.1358579
10956000,10932000,6620172,487.9995,0.0,95599.21,1.1358768
11008000,10984000,6620172,488.0981,0.0,95598.04,1.1358628
11060000,11036000,6620172,488.03238,0.0,95598.805,1.1358719
11112000,11088000,6620172,488.06525,0.0,95598.445,1.1358676
11164000,11140000,6620172,488.07465,0.0,95598.305,1.1358659
11216000,11192000,6620172,488.04648,0.0,95598.67,1.1358703
11268000,11244000,6620172,488.07465,0.0,95598.34,1.1358664
11320000,11296000,6620172,488.04178,0.0,95598.72,1.1358709
11372000,11348000,6620172,488.0981,0.0,95598.04,1.1358628
11424000,11400000,6620172,488.0981,0.0,95598.086,1.1358634
11476000,11452000,6620172,488.05118,0.0,95598.6,1.1358695
11528000,11504000,6620172,488.05118,0.0,95598.63,1.1358699
11580000,11556000,6620172,488.05118,0.0,95598.62,1.1358697
11632000,11608000,6620172,488.05118,0.0,95598.61,1.1358696
11684000,11660000,6620172,488.1028,0.0,95597.984,1.1358621
11736000,11712000,6620172,488.06995,0.0,95598.37,1.1358668
11788000,11764000,6620172,488.07935,0.0,95598.266,1.1358654
11840000,11816000,6620172,488.05118,0.0,95598.59,1.1358694
11892000,11868000,6620172,488.1169,0.0,95597.84,1.1358604
11944000,11920000,6620172,488.05588,0.0,95598.53,1.1358687
11996000,11972000,6620172,488.06055,0.0,95598.51,1.1358684
12048000,12024000,6620172,488.1169,0.0,95597.82,1.1358602
12100000,12076000,6620172,488.07935,0.0,95598.3,1.1358659
12152000,12128000,6620172,488.07935,0.0,95598.26,1.1358654
12204000,12180000,6620172,488.06995,0.0,95598.37,1.1358668
12256000,12232000,6620172,488.05118,0.0,95598.63,1.1358699
12308000,12284000,6620172,488.02768,0.0,95598.87,1.1358726
12360000,12336000,6620172,488.06995,0.0,95598.42,1.1358674
12412000,12388000,6620172,488.07935,0.0,95598.28,1.1358657
12464000,12440000,6620172,488.0934,0.0,95598.12,1.1358638
12516000,12492000,6620172,488.06055,0.0,95598.51,1.1358684
12568000,12544000,6620172,488.0934,0.0,95598.14,1.135864
12620000,12596000,6620172,488.0981,0.0,95598.03,1.1358627
12672000,12648000,6620172,488.06055,0.0,95598.48,1.135868
12724000,12700000,6620172,488.13098,0.0,95597.71,1.1358589
12776000,12752000,6620172,488.06995,0.0,95598.38,1.1358669
12828000,12804000,6620172,488.0887,0.0,95598.17,1.1358644
12880000,12856000,6620172,488.0981,0.0,95598.07,1.1358632
12932000,12908000,6620172,488.03238,0.0,95598.81,1.135872
12984000,12960000,6620172,488.1028,0.0,95597.98,1.1358621
13036000,13012000,6620172,488.03708,0.0,95598.74,1.1358712
13088000,13064000,6620172,488.07465,0.0,95598.34,1.1358664
13140000,13116000,6620172,488.07465,0.0,95598.336,1.1358663
13192000,13168000,6620172,488.06055,0.0,95598.51,1.1358684
13244000,13220000,6620172,488.05118,0.0,95598.61,1.1358696
13296000,13272000,6620172,488.05118,0.0,95598.625,1.1358697
13348000,13324000,6620172,488.04178,0.0,95598.7,1.1358707
13400000,13376000,6620172,488.05588,0.0,95598.58,1.1358693
13452000,13428000,6620172,488.08405,0.0,95598.23,1.1358651
13504000,13480000,6620172,488.13568,0.0,95597.63,1.1358579
13556000,13532000,6620172,488.14038,0.0,95597.57,1.1358572
13608000,13584000,6620172,488.1122,0.0,95597.92,1.1358614
13660000,13636000,6620172,488.06995,0.0,95598.414,1.1358672
13712000,13688000,6620172,488.06995,0.0,95598.4,1.1358671
13764000,13740000,6620172,488.06055,0.0,95598.48,1.135868
13816000,13792000,6620172,488.0887,0.0,95598.18,1.1358645
13868000,13844000,6620172,488.13098,0.0,95597.72,1.135859
13920000,13896000,6620172,488.15915,0.0,95597.336,1.1358545
13972000,13948000,6620172,488.0887,0.0,95598.17,1.1358644
14024000,14000000,6620172,488.07465,0.0,95598.305,1.1358659
14076000,14052000,6620172,488.03708,0.0,95598.79,1.1358718
14128000,14104000,6620172,488.06995,0.0,95598.414,1.1358672
14180000,14156000,6620172,488.1169,0.0,95597.85,1.1358606
14232000,14208000,6620172,488.06525,0.0,95598.43,1.1358675
14284000,14260000,6620172,488.03708,0.0,95598.79,1.1358718
14336000,14312000,6620172,487.98544,0.0,95599.38,1.1358788
14388000,14364000,6620172,488.06995,0.0,95598.38,1.1358669
14440000,14416000,6620172,488.0981,0.0,95598.04,1.1358628
14492000,14468000,6620172,488.05118,0.0,95598.61,1.1358696
14544000,14520000,6620172,488.06055,0.0,95598.51,1.1358684
14596000,14572000,6620172,488.07465,0.0,95598.34,1.1358664
14648000,14624000,6620172,488.0981,0.0,95598.086,1.1358634
14700000,14676000,6620172,488.07935,0.0,95598.27,1.1358656
14752000,14728000,6620172,488.07935,0.0,95598.26,1.1358654
14804000,14780000,6620172,488.06055,0.0,95598.46,1.1358678
14856000,14832000,6620172,488.12158,0.0,95597.78,1.1358597
14908000,14884000,6620172,488.12158,0.0,95597.78,1.1358597
14960000,14936000,6620172,488.06995,0.0,95598.4,1.1358671
15012000,14988000,6620172,488.06525,0.0,95598.45,1.1358677
15064000,15040000,6620172,488.17325,0.0,95597.195,1.1358528
15116000,15092000,6620172,488.13568,0.0,95597.63,1.1358579
15168000,15144000,6620172,488.13098,0.0,95597.695,1.1358588
15220000,15196000,6620172,488.0887,0.0,95598.2,1.1358647
15272000,15248000,6620172,488.06995,0.0,95598.4,1.1358671
15324000,15300000,6620172,488.0887,0.0,95598.2,1.1358647
15376000,15352000,6620172,488.07465,0.0,95598.336,1.1358663
15428000,15404000,6620172,488.06995,0.0,95598.4,1.1358671
15480000,15456000,6620172,488.0981,0.0,95598.055,1.135863
15532000,15508000,6620172,488.0981,0.0,95598.03,1.1358627
15584000,15560000,6620172,488.1028,0.0,95598.016,1.1358626
15636000,15612000,6620172,488.0934,0.0,95598.15,1.1358641
15688000,15664000,6620172,488.0934,0.0,95598.12,1.1358638
15740000,15716000,6620172,488.0887,0.0,95598.21,1.1358649
15792000,15768000,6620172,488.07935,0.0,95598.28,1.1358657
15844000,15820000,6620172,488.04648,0.0,95598.66,1.1358701
15896000,15872000,6620172,488.02768,0.0,95598.88,1.1358728
15948000,15924000,6620172,488.0934,0.0,95598.14,1.135864
16000000,15976000,6620172,488.08405,0.0,95598.24,1.1358652
16052000,16028000,6620172,488.1122,0.0,95597.92,1.1358614
16104000,16080000,6620172,488.07465,0.0,95598.35,1.1358665
16156000,16132000,6620172,488.1075,0.0,95597.95,1.1358618
16208000,16184000,6620172,488.1169,0.0,95597.86,1.1358607
16260000,16236000,6620172,488.05118,0.0,95598.6,1.1358695
16312000,16288000,6620172,488.0934,0.0,95598.12,1.1358638
16364000,16340000,6620172,488.0981,0.0,95598.05,1.135863
16416000,16392000,6620172,488.13098,0.0,95597.72,1.135859
16468000,16444000,6620172,488.13098,0.0,95597.695,1.1358588
16520000,16496000,6620172,488.06995,0.0,95598.4,1.1358671
16572000,16548000,6620172,488.03238,0.0,95598.85,1.1358725
16624000,16600000,6620172,488.0934,0.0,95598.12,1.1358638
16676000,16652000,6620172,488.03238,0.0,95598.83,1.1358722
16728000,16704000,6620172,488.0887,0.0,95598.16,1.1358643
16780000,16756000,6620172,488.04648,0.0,95598.64,1.13587
16832000,16808000,6620172,488.07465,0.0,95598.305,1.1358659
16884000,16860000,6620172,488.02768,0.0,95598.89,1.135873
16936000,16912000,6620172,488.04648,0.0,95598.664,1.1358702
16988000,16964000,6620172,488.04648,0.0,95598.69,1.1358706
17040000,17016000,6620172,488.06995,0.0,95598.375,1.1358668
17092000,17068000,6620172,488.023,0.0,95598.92,1.1358733
17144000,17120000,6620172,488.1122,0.0,95597.92,1.1358614
17196000,17172000,6620172,488.07935,0.0,95598.25,1.1358653
17248000,17224000,6620172,488.08405,0.0,95598.24,1.1358652
17300000,17276000,6620172,488.07465,0.0,95598.336,1.1358663
17352000,17328000,6620172,488.07465,0.0,95598.34,1.1358664
17404000,17380000,6620172,488.0981,0.0,95598.04,1.1358628
17456000,17432000,6620172,488.07465,0.0,95598.31,1.135866
17508000,17484000,6620172,488.0887,0.0,95598.17,1.1358644
17560000,17536000,6620172,488.07935,0.0,95598.27,1.1358656
17612000,17588000,6620172,488.06995,0.0,95598.4,1.1358671
17664000,17640000,6620172,488.08405,0.0,95598.22,1.135865
17716000,17692000,6620172,488.07465,0.0,95598.35,1.1358665
17768000,17744000,6620172,488.0887,0.0,95598.21,1.1358649
17820000,17796000,6620172,488.05588,0.0,95598.53,1.1358687
17872000,17848000,6620172,488.06995,0.0,95598.41,1.1358671
17924000,17900000,6620172,488.12628,0.0,95597.74,1.1358593
17976000,17952000,6620172,488.0887,0.0,95598.2,1.1358647
18028000,18004000,6620172,488.05118,0.0,95598.62,1.1358697
18080000,18056000,6620172,488.05118,0.0,95598.61,1.1358696
18132000,18108000,6620172,488.02768,0.0,95598.86,1.1358726
18184000,18160000,6620172,488.08405,0.0,95598.234,1.1358651
18236000,18212000,6620172,488.0887,0.0,95598.2,1.1358647
18288000,18264000,6620172,488.06995,0.0,95598.4,1.1358671
18340000,18316000,6620172,488.03238,0.0,95598.805,1.1358719
18392000,18368000,6620172,488.08405,0.0,95598.23,1.1358651
18444000,18420000,6620172,488.06525,0.0,95598.45,1.1358677
18496000,18472000,6620172,488.07465,0.0,95598.305,1.1358659
18548000,18524000,6620172,488.07935,0.0,95598.266,1.1358654
18600000,18576000,6620172,488.06995,0.0,95598.4,1.1358671
18652000,18628000,6620172,488.06055,0.0,95598.48,1.135868
18704000,18680000,6620172,488.06995,0.0,95598.414,1.1358672
18756000,18732000,6620172,488.05588,0.0,95598.57,1.1358691
18808000,18784000,6620172,488.06055,0.0,95598.51,1.1358684
18860000,18836000,6620172,488.1122,0.0,95597.89,1.135861
18912000,18888000,6620172,488.06055,0.0,95598.48,1.135868
18964000,18940000,6620172,488.1028,0.0,95597.984,1.1358621
19016000,18992000,6620172,488.04178,0.0,95598.73,1.1358709
19068000,19044000,6620172,488.13098,0.0,95597.695,1.1358588
19120000,19096000,6620172,488.05588,0.0,95598.53,1.1358687
19172000,19148000,6620172,488.0089,0.0,95599.086,1.1358752
19224000,19200000,6620172,488.1169,0.0,95597.875,1.1358609
19276000,19252000,6620172,488.06525,0.0,95598.45,1.1358677
19328000,19304000,6620172,488.07465,0.0,95598.35,1.1358665
19380000,19356000,6620172,488.0934,0.0,95598.15,1.1358641
19432000,19408000,6620172,488.07935,0.0,95598.266,1.1358654
19484000,19460000,6620172,488.05118,0.0,95598.625,1.1358697
19536000,19512000,6620172,488.05588,0.0,95598.52,1.1358685
19588000,19564000,6620172,488.06055,0.0,95598.51,1.1358684
19640000,19616000,6620172,488.05118,0.0,95598.59,1.1358694
19692000,19668000,6620172,488.05588,0.0,95598.54,1.1358688
19744000,19720000,6620172,488.12158,0.0,95597.766,1.1358596
19796000,19772000,6620172,488.07465,0.0,95598.34,1.1358664
19848000,19824000,6620172,488.05588,0.0,95598.52,1.1358685
19900000,19876000,6620172,488.06525,0.0,95598.43,1.1358675
19952000,19928000,6620172,488.04178,0.0,95598.73,1.1358709
20004000,19980000,6620172,488.06055,0.0,95598.49,1.1358682
20056000,20032000,6620172,488.05118,0.0,95598.63,1.1358699
20108000,20084000,6620172,488.06055,0.0,95598.49,1.1358682
20160000,20136000,6620172,488.0887,0.0,95598.19,1.1358646
20212000,20188000,6620172,488.0934,0.0,95598.13,1.1358639
20264000,20240000,6620172,488.05588,0.0,95598.54,1.1358688
20316000,20292000,6620172,488.06055,0.0,95598.49,1.1358682
20368000,20344000,6620172,488.12628,0.0,95597.75,1.1358594
20420000,20396000,6620172,488.06525,0.0,95598.445,1.1358676
20472000,20448000,6620172,488.06995,0.0,95598.4,1.1358671
20524000,20500000,6620172,488.04648,0.0,95598.65,1.1358701
20576000,20552000,6620172,488.0981,0.0,95598.07,1.1358632
20628000,20604000,6620172,488.07935,0.0,95598.3,1.1358659
20680000,20656000,6620172,488.08405,0.0,95598.23,1.1358651
20732000,20708000,6620172,488.12158,0.0,95597.8,1.13586
20784000,20760000,6620172,488.06995,0.0,95598.414,1.1358672
20836000,20812000,6620172,488.0887,0.0,95598.2,1.1358647
20888000,20864000,6620172,488.07465,0.0,95598.305,1.1358659
20940000,20916000,6620172,488.0981,0.0,95598.03,1.1358627
20992000,20968000,6620172,488.05588,0.0,95598.56,1.135869
21044000,21020000,6620172,488.04648,0.0,95598.65,1.1358701
21096000,21072000,6620172,488.07465,0.0,95598.31,1.135866
21148000,21124000,6620172,488.13568,0.0,95597.64,1.135858
21200000,21176000,6620172,488.07465,0.0,95598.305,1.1358659
21252000,21228000,6620172,488.0981,0.0,95598.055,1.135863
21304000,21280000,6620172,488.0934,0.0,95598.1,1.1358635
21356000,21332000,6620172,488.1122,0.0,95597.92,1.1358614
21408000,21384000,6620172,488.0934,0.0,95598.15,1.1358641
21460000,21436000,6620172,488.0934,0.0,95598.14,1.135864
21512000,21488000,6620172,488.1028,0.0,95597.98,1.1358621
21564000,21540000,6620172,488.06055,0.0,95598.46,1.1358678
21616000,21592000,6620172,488.07935,0.0,95598.266,1.1358654
21668000,21644000,6620172,488.13098,0.0,95597.73,1.1358591
21720000,21696000,6620172,488.08405,0.0,95598.234,1.1358651
21772000,21748000,6620172,488.1122,0.0,95597.89,1.135861
21824000,21800000,6620172,488.03708,0.0,95598.79,1.1358718
21876000,21852000,6620172,488.0981,0.0,95598.04,1.1358628
21928000,21904000,6620172,488.05118,0.0,95598.61,1.1358696
21980000,21956000,6620172,488.06055,0.0,95598.47,1.135868
22032000,22008000,6620172,488.04648,0.0,95598.69,1.1358706
22084000,22060000,6620172,488.1122,0.0,95597.92,1.1358614
22136000,22112000,6620172,488.07465,0.0,95598.31,1.135866
22188000,22164000,6620172,488.12628,0.0,95597.74,1.1358593
22240000,22216000,6620172,488.1169,0.0,95597.83,1.1358603
22292000,22268000,6620172,488.0934,0.0,95598.13,1.1358639
22344000,22320000,6620172,488.07465,0.0,95598.34,1.1358664
22396000,22372000,6620172,488.1028,0.0,95597.99,1.1358622
22448000,22424000,6620172,488.05588,0.0,95598.56,1.135869
22500000,22476000,6620172,488.0887,0.0,95598.17,1.1358644
22552000,22528000,6620172,488.03238,0.0,95598.82,1.1358721
