timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
25136000,-0.025566366,0.0026631092,-0.0053262822,4000,0,0.034715924,-0.052672267,-9.956289,4000,0
25140000,-0.03834954,-0.0026631744,-0.009587325,4000,0,0.071826056,-0.026336046,-9.973047,4000,0
25144000,-0.04340958,-0.015978903,-0.005858789,4000,0,0.05746084,-0.0035911282,-9.9934,4000,0
25148000,-0.040213767,-0.021305256,-0.0029293837,4000,0,0.023942016,1.7525343e-07,-10.041284,4000,0
25152000,-0.038615804,-0.0109190205,-0.0071906634,4000,0,0.016759416,1.7506542e-07,-10.03051,4000,0
25156000,-0.036218964,-0.0013316172,-0.009587495,4000,0,-0.0023942017,-0.016759241,-9.998186,4000,0
25160000,-0.028762141,2.770614e-08,-0.005326336,4000,0,-0.020350713,0.008379881,-10.008961,4000,0
25164000,-0.023968447,0.004527374,-0.0045274184,4000,0,-0.009576809,0.051475517,-10.052057,4000,0
25168000,-0.022636842,0.02370212,-0.006125426,4000,0,-0.008379708,0.003591479,-10.089169,4000,0
25172000,-0.018375752,0.03755059,-0.0023969829,4000,0,-0.017956514,-0.020350536,-10.101139,4000,0
25176000,-0.018908378,0.03462113,0.003195819,4000,0,-0.035913028,0.032321904,-10.108322,4000,0
25180000,-0.020506293,0.031159008,0.0071905768,4000,0,-0.055066645,0.0359132,-10.079592,4000,0
25184000,-0.021038998,0.029294759,0.004793708,4000,0,-0.051475346,0.0023943777,-10.065224,4000,0
25188000,-0.022104286,0.023435775,-0.0010652125,4000,0,-0.037110135,-0.027533146,-10.120293,4000,0
25192000,-0.022104288,0.0085220765,-0.0066577937,4000,0,-0.016759416,-0.045489665,-10.131064,4000,0
25196000,-0.024501096,-0.0039946893,-0.000266217,4000,0,-0.011971008,-0.022744741,-10.097548,4000,0
25200000,-0.029028473,-0.013315734,0.008522187,4000,0,-0.020350713,0.0047885804,-10.115502,4000,0
25204000,-0.029294712,-0.02237063,0.00079903426,4000,0,-0.017956512,0.0023943787,-10.119095,4000,0
25208000,-0.022104235,-0.021837924,0.0002663642,4000,0,-0.005985504,0.0023943784,-10.109518,4000,0
25212000,-0.019174807,-0.018642085,0.0063915844,4000,0,-0.0035913025,-0.005985327,-10.156206,4000,0
25216000,-0.021038955,-0.010919001,0.0007988873,4000,0,-0.0035913025,-0.031124445,-10.216059,4000,0
25220000,-0.01864212,0.008255778,-0.0023969705,4000,0,0.0047884043,-0.02274474,-10.242397,4000,0
25224000,-0.020772642,0.02636531,-0.00079905463,4000,0,-0.010773908,-0.03471575,-10.205286,4000,0
25228000,-0.026098965,0.031158997,0.0005326465,4000,0,-0.01436521,-0.06344617,-10.158598,4000,0
25232000,-0.020240039,0.03036003,-0.00079900183,4000,0,-0.019153617,-0.04668676,-10.196905,4000,0
25236000,-0.017576948,0.03462105,-0.008788487,4000,0,-0.049081136,-0.03351865,-10.229227,4000,0
25240000,-0.027164243,0.035420075,-0.009054643,4000,0,-0.015562313,-0.031124445,-10.201695,4000,0
25244000,-0.028495803,0.025033763,-0.004527265,4000,0,0.029927526,-0.04189836,-10.198102,4000,0
25248000,-0.016511636,0.0058589303,-0.005326241,4000,0,0.01316811,-0.073022984,-10.200497,4000,0
25252000,-0.0074568805,-0.010652662,-0.005326249,4000,0,-0.007182605,-0.09576789,-10.202892,4000,0
25256000,-0.010652658,-0.01704423,-0.005060002,4000,0,-0.007182605,-0.061051972,-10.243593,4000,0
25260000,-0.00985374,-0.026098963,3.6235978e-08,4000,0,-0.0035913025,-0.001196921,-10.30225,4000,0
25264000,-0.004261102,-0.040746357,0.005060102,4000,0,-0.017956514,0.025139304,-10.299858,4000,0
25268000,-0.0021303988,-0.04074638,-0.004527346,4000,0,-0.055066645,0.03830741,-10.229227,4000,0
