Format Version,1.23,Take Name,Take 2023-04-16 08.31.25 PM,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,180.000000,Capture Start Time,2023-04-16 08.31.25.957 下午,Capture Start Frame,98506,Total Frames in Take,11727,Total Exported Frames,10554,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Frame,Frame,Frame,Frame,Frame,Frame,Frame,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
101,0.561000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035973,0.003528,-0.010999,0.999286,1433.714966,130.475876,2035.915405
102,0.566000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035969,0.003524,-0.010999,0.999286,1433.715942,130.479950,2035.909424
103,0.572000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035947,0.003513,-0.010964,0.999287,1433.719971,130.488144,2035.915894
104,0.577000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035959,0.003513,-0.010966,0.999287,1433.718262,130.485565,2035.913940
105,0.583000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035976,0.003526,-0.010974,0.999286,1433.713989,130.466370,2035.910889
106,0.588000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035969,0.003530,-0.010974,0.999286,1433.719971,130.467728,2035.913696
107,0.594000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035954,0.003522,-0.010984,0.999287,1433.721436,130.477936,2035.911987
108,0.600000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035974,0.003525,-0.011011,0.999286,1433.718140,130.472504,2035.918213
109,0.605000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035983,0.003538,-0.010985,0.999286,1433.715332,130.462387,2035.916382
110,0.611000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035979,0.003519,-0.011016,0.999286,1433.723267,130.476349,2035.918945
