timestamp,nav_state_timestamp,failsafe_timestamp,armed_time,takeoff_time,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
22416000,21396000,0,21408000,0,271122476,270598156,271515695,17,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
22920000,21396000,0,21408000,0,271122476,270598156,271515695,17,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
23424000,21396000,0,21408000,23220000,271122476,270598156,271515695,17,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
23928000,21396000,0,21408000,23220000,271122476,270598156,271515695,17,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
24432000,21396000,0,21408000,23220000,271122476,270598156,271515695,17,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
24936000,21396000,0,21408000,23220000,271122476,270598156,271515695,17,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
25440000,21396000,0,21408000,23220000,271122476,270598156,271515695,17,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
25944000,21396000,0,21408000,23220000,271122476,270598156,271515695,17,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
26448000,21396000,0,21408000,23220000,271122476,270598156,271515695,17,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
26952000,21396000,0,21408000,23220000,271122476,270598156,271515695,17,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
27180000,27180000,0,21408000,23220000,271122476,270598156,271515695,2,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
27684000,27180000,0,21408000,23220000,271122476,270598156,271515695,2,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
28188000,27180000,0,21408000,23220000,271122476,270598156,271515695,2,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
28692000,27180000,0,21408000,23220000,271122476,270598156,271515695,2,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
29196000,27180000,0,21408000,23220000,271122476,270598156,271515695,2,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
29700000,27180000,0,21408000,23220000,271122476,270598156,271515695,2,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
30204000,27180000,0,21408000,23220000,271122476,270598156,271515695,2,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
30708000,27180000,0,21408000,23220000,271122476,270598156,271515695,2,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
31212000,27180000,0,21408000,23220000,271122476,270598156,271515695,2,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
31716000,27180000,0,21408000,23220000,271122476,270598156,271515695,2,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
32220000,27180000,0,21408000,23220000,271122476,270598156,271515695,2,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
32724000,27180000,0,21408000,23220000,271122476,270598156,271515695,2,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
33228000,27180000,0,21408000,23220000,271122476,270598156,271515695,2,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
33732000,27180000,0,21408000,23220000,271122476,270598156,271515695,2,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
34236000,27180000,0,21408000,23220000,271122476,270598156,271515695,2,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
34740000,27180000,0,21408000,23220000,271122476,270598156,271515695,2,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
34932000,34932000,0,21408000,23220000,271122476,270598156,271515695,18,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
35436000,34932000,0,21408000,23220000,271122476,270598156,271515695,18,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
35940000,34932000,0,21408000,23220000,271122476,270598156,271515695,18,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
36444000,34932000,0,21408000,23220000,271122476,270598156,271515695,18,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
36684000,36684000,0,21408000,23220000,271122476,270598156,271515695,2,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
37188000,36684000,0,21408000,23220000,271122476,270598156,271515695,2,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
37692000,36684000,0,21408000,23220000,271122476,270598156,271515695,2,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
38196000,36684000,0,21408000,23220000,271122476,270598156,271515695,2,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
38700000,36684000,0,21408000,23220000,271122476,270598156,271515695,2,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
39204000,36684000,0,21408000,23220000,271122476,270598156,271515695,2,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
39252000,39252000,0,21408000,23220000,271122476,270598156,271515695,18,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
39756000,39252000,0,21408000,23220000,271122476,270598156,271515695,18,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
40260000,39252000,0,21408000,23220000,271122476,270598156,271515695,18,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
